   0.249   1.950  -0.280   0.017         0.346     -7.971
   0.249   1.950  -0.280   0.175         3.483     -7.940
   0.249   1.950  -0.280   0.349         7.103     -7.845
   0.249   1.950  -0.280   0.524        11.001     -7.685
   0.249   1.950  -0.280   0.698        15.338     -7.461
   0.249   1.950  -0.280   0.873        20.291     -7.172
   0.249   1.950  -0.280   1.047        26.073     -6.815
   0.249   1.950  -0.280   1.222        32.931     -6.391
   0.249   1.950  -0.280   1.396        41.160     -5.897
   0.249   1.950  -0.280   1.571        51.098     -5.331
   0.249   1.950  -0.280   1.745        63.115     -4.692
   0.249   1.950  -0.280   1.920        77.554     -3.976
   0.249   1.950  -0.280   2.094        94.577     -3.185
   0.249   1.950  -0.280   2.269       113.766     -2.324
   0.249   1.950  -0.280   2.443       133.111     -1.412
   0.249   1.950  -0.280   2.618       146.688     -0.494
   0.249   1.950  -0.280   2.793       140.625      0.332
   0.249   1.950  -0.280   2.967        93.204      0.920
   0.249   1.950  -0.280   3.142         0.000***********
   0.249   1.950  -0.280   3.316       -93.204      0.920
   0.249   1.950  -0.280   3.491      -140.625      0.332
   0.249   1.950  -0.280   3.665      -146.688     -0.494
   0.249   1.950  -0.280   3.840      -133.111     -1.412
   0.249   1.950  -0.280   4.014      -113.766     -2.324
   0.249   1.950  -0.280   4.189       -94.577     -3.185
   0.249   1.950  -0.280   4.363       -77.554     -3.976
   0.249   1.950  -0.280   4.538       -63.115     -4.692
   0.249   1.950  -0.280   4.712       -51.098     -5.331
   0.249   1.950  -0.280   4.887       -41.160     -5.897
   0.249   1.950  -0.280   5.061       -32.931     -6.391
   0.249   1.950  -0.280   5.236       -26.073     -6.815
   0.249   1.950  -0.280   5.411       -20.291     -7.172
   0.249   1.950  -0.280   5.585       -15.338     -7.461
   0.249   1.950  -0.280   5.760       -11.001     -7.685
   0.249   1.950  -0.280   5.934        -7.103     -7.845
   0.249   1.950  -0.280   6.109        -3.483     -7.940
   0.249   1.950  -0.280   6.266        -0.346     -7.971
   0.249   1.950  -0.490   0.017         0.097     -8.695
   0.249   1.950  -0.490   0.175         0.983     -8.658
   0.249   1.950  -0.490   0.349         2.015     -8.543
   0.249   1.950  -0.490   0.524         3.151     -8.350
   0.249   1.950  -0.490   0.698         4.453     -8.079
   0.249   1.950  -0.490   0.873         5.998     -7.726
   0.249   1.950  -0.490   1.047         7.881     -7.289
   0.249   1.950  -0.490   1.222        10.231     -6.762
   0.249   1.950  -0.490   1.396        13.220     -6.139
   0.249   1.950  -0.490   1.571        17.085     -5.412
   0.249   1.950  -0.490   1.745        22.163     -4.566
   0.249   1.950  -0.490   1.920        28.936     -3.580
   0.249   1.950  -0.490   2.094        38.130     -2.420
   0.249   1.950  -0.490   2.269        50.880     -1.033
   0.249   1.950  -0.490   2.443        69.078      0.673
   0.249   1.950  -0.490   2.618        96.023      2.833
   0.249   1.950  -0.490   2.793       136.590      5.534
   0.249   1.950  -0.490   2.967       177.417      8.054
   0.249   1.950  -0.490   3.142         0.000***********
   0.249   1.950  -0.490   3.316      -177.417      8.054
   0.249   1.950  -0.490   3.491      -136.590      5.534
   0.249   1.950  -0.490   3.665       -96.023      2.833
   0.249   1.950  -0.490   3.840       -69.078      0.673
   0.249   1.950  -0.490   4.014       -50.880     -1.033
   0.249   1.950  -0.490   4.189       -38.130     -2.420
   0.249   1.950  -0.490   4.363       -28.936     -3.580
   0.249   1.950  -0.490   4.538       -22.163     -4.566
   0.249   1.950  -0.490   4.712       -17.085     -5.412
   0.249   1.950  -0.490   4.887       -13.220     -6.139
   0.249   1.950  -0.490   5.061       -10.231     -6.762
   0.249   1.950  -0.490   5.236        -7.881     -7.289
   0.249   1.950  -0.490   5.411        -5.998     -7.726
   0.249   1.950  -0.490   5.585        -4.453     -8.079
   0.249   1.950  -0.490   5.760        -3.151     -8.350
   0.249   1.950  -0.490   5.934        -2.015     -8.543
   0.249   1.950  -0.490   6.109        -0.983     -8.658
   0.249   1.950  -0.490   6.266        -0.097     -8.695
   0.450   2.800  -0.300   1.571         2.553    -22.701
   0.450   2.800  -0.400   1.571         3.003    -12.559
   0.450   2.800  -0.500   1.571         2.304    -11.099
   0.450   2.800  -0.600   1.571         1.689    -10.587
   0.450   2.800  -0.700   1.571         1.237    -10.325
   0.450   2.800  -0.800   1.571         0.916    -10.168
   0.450   2.800  -0.900   1.571         0.687    -10.067
   0.450   2.800  -1.000   1.571         0.522     -9.996
   0.450   2.800  -1.100   1.571         0.402     -9.954
   0.450   2.800  -1.200   1.571         0.313     -9.927
   0.450   2.800  -1.300   1.571         0.247     -9.909
   0.460   3.300  -0.300   1.571         0.665    -39.628
   0.460   3.300  -0.400   1.571         2.382    -12.199
   0.460   3.300  -0.500   1.571         1.905    -10.309
   0.460   3.300  -0.600   1.571         1.414     -9.752
   0.460   3.300  -0.700   1.571         1.041     -9.487
   0.460   3.300  -0.800   1.571         0.772     -9.336
   0.460   3.300  -0.900   1.571         0.579     -9.244
   0.460   3.300  -1.000   1.571         0.440     -9.181
   0.460   3.300  -1.100   1.571         0.339     -9.148
   0.460   3.300  -1.200   1.571         0.264     -9.128
   0.460   3.300  -1.300   1.571         0.208     -9.117
   0.460   3.700  -0.400   1.571         2.313    -10.742
   0.460   3.700  -0.500   1.571         1.848     -8.986
   0.460   3.700  -0.600   1.571         1.362     -8.499
   0.460   3.700  -0.700   1.571         0.995     -8.286
   0.460   3.700  -0.800   1.571         0.732     -8.179
   0.460   3.700  -0.900   1.571         0.546     -8.124
   0.460   3.700  -1.000   1.571         0.412     -8.095
   0.460   3.700  -1.100   1.571         0.315     -8.091
   0.460   3.700  -1.200   1.571         0.244     -8.098
   0.460   3.700  -1.300   1.571         0.191     -8.111
   0.350   2.300  -0.300   1.571        14.132     -9.233
   0.350   2.300  -0.400   1.571         9.262     -8.713
   0.350   2.300  -0.500   1.571         6.126     -8.518
   0.350   2.300  -0.600   1.571         4.153     -8.434
   0.350   2.300  -0.700   1.571         2.887     -8.401
